etag,videoId,publishedAt,channelId,title,description,channelTitle,publishTime
O-bLrduhrijLLRbM20Hasl8CLjc,XYnxIhYG-k4,2013-05-01T18:41:03Z,UCS6R2iiAJ1FvEYl4B3zmljw,Alex Metric and Mark Yardley - &quot;Ilium&quot; (Official Video),"Alex Metric and Mark Yardley (of Stanton Warriors) - ""Ilium"" On his latest OWSLA release Ammunition Pt. 3: http://www.beatport.com/release/ammunition-pt-3-ep/ ...",THUMP,2013-05-01T18:41:03Z
CmINkM5pLoQ-A9-oQSX2AZpjEqQ,53h-Co6Fn3Y,2015-10-12T15:00:00Z,UCpDJl2EmP7Oh90Vylx0dZtA,Joe Stone &amp; Daser - Freak (And You Know It) [Official Music Video],"Another big record by Joe Stone, now working his house magic together with Daser on this energy packed groove. Centerpiece is the 90s vocal sample, creating ...",Spinnin' Records,2015-10-12T15:00:00Z
GyG-t5FF4nNXMyN0gc-kG3Uofj0,agNQqXPXED4,2014-07-28T12:33:04Z,UChEzgc8o4xmWCYwjsrZ3wOg,ATB with BOSS and SWAN - Raging bull [Official video],"ATB presents his brand new hit single ""Raging bull"" from his current high-flying album ""CONTACT""! For ""Raging bull"" the German DJ and producer teamed up ...",DO IT YOURSELF,2014-07-28T12:33:04Z
qGE5yvelBHp7qzA98NNeGGmFoE0,vdAuQUEB894,2014-09-29T16:27:54Z,UChEzgc8o4xmWCYwjsrZ3wOg,SCOOTER and VASSY - Today [Official video],"The most successful Scooter albums have often been the ones where a new band member has been introduced, bringing innovative ideas and fresh production ...",DO IT YOURSELF,2014-09-29T16:27:54Z
dIu0dAJFnBK13MLou-zidMwut8Y,y27fAr7eAtQ,2017-07-28T15:00:07Z,UCGZXYc32ri4D0gSLPf2pZXQ,Fedde Le Grand and Ida Corr feat. Shaggy - Firestarter (Official Music Video),"Very little introduction is needed when 'Firestarter' strikes the match to get the club lit. You won't find it screeching like Keith Flint of the Prodigy, but it does ...",Armada Music,2017-07-28T15:00:07Z
e6tBBNweoY_jWfJ-xL6zkiK7ja0,57-rUfgC-KM,2020-01-01T13:30:11Z,UCa2_ZTNqGP0ruNoqWZ8JfGw,Hope And Dreams - #Hexagon | Karthik Ragava | Official Music Video,Hope And Dreams | Hexagon | Official Music Video Music Video Of The 1st Single From The Independent Music Album #Hexagon Hope You Guys Like it !,Karthik Ragava,2020-01-01T13:30:11Z
Y0c2JlGzpdxbF3VuUIYxY9-OViY,T_XL7wKbx1U,2017-09-20T22:10:40Z,UCeWtw8KqMuzcRxxzJgJuEYQ,SKYLINE - On And On (Official Video),SKYLINE is Oscar and Redslim Follow us: Facebook: https://www.facebook.com/weareskylineBE Instagram: https://www.instagram.com/weareskylinebe Official ...,SKYLINE BE,2017-09-20T22:10:40Z
W0sezFL_SLTW8dlf_0jFy6vlNug,CvT3nwkJPDE,2020-04-06T08:43:24Z,UCIIXtLXbNZIfj-smt9T9XfQ,"Serenity (Official Video)| ft Neovaii,Dyptophoneic Music and Mohnish Doultani | Best EDM music 2020",*Content made for Entertainment Purpose only. No Copyright Infringement Intended. All Right reserved to their Respective Owners.,iamdypto,2020-04-06T08:43:24Z
Slu3FrDuzTgew0TA7yF89d2zpeo,VN6Ayx6F5CM,2014-07-05T07:50:41Z,UCb3tJ5NKw7mDxyaQ73mwbRg,ATB with Boss and Swan - Raging Bull (Official Video HD),New album „neXt“ - OUT NOW! Get it here: https://atb.lnk.to/ATB-neXtYo Check out the mimimix: https://youtu.be/m34mCmsKzpE ▻ Follow ATB Facebook: ...,Kontor.TV,2014-07-05T07:50:41Z
uu4nHMF-h0nnBvPoNpPH5k43Sy4,2g4Ch-YMH3A,2014-09-25T17:59:55Z,UCb3tJ5NKw7mDxyaQ73mwbRg,Scooter And Vassy - Today (Official Video HD),▻SCOOTER LIVE 2021 08.05.21 DE - Dresden //Junge Garde (Nachholshow) 12.06.21 HU - Budapest Park // Budapest 19.06.21 PT - EDC Europe // Praia da ...,Kontor.TV,2014-09-25T17:59:55Z
lkux61-ZFXCwNw8WlGRzA1C8z_g,NN8ekV9iozY,2020-09-14T16:00:10Z,UCDcXQTBqegIrw9et9oUuL6w,Zatox - Bass and Acid ( Official Video ),Follow ZATOX: ◉ Subscribe to the channel: http://www.youtube.com/djzatoxofficial ▽ Follow me On Spotify: https://spoti.fi/3cNudfs ◉ Follow me on Instagram ...,Zatox,2020-09-14T16:00:10Z
3m9Xs7lk9aFXOB1Z3a6vONzJxNY,Yq39nPSlt2M,2017-11-16T15:38:56Z,UCp88uFdmde1OZ9wXtNdFB8Q,MYST - Fire And Ice (Official Music Video),Let me know what you guys think in the comments! Follow MYST: https://www.instagram.com/MYSTnl/​ https://www.facebook.com/mystnl/​ ...,MYST,2017-11-16T15:38:56Z
e8rReKoYPz6XXggJDJgXgmtgLhA,p6-ZrnYl3Q0,2017-06-29T19:08:44Z,UC5QM0FcTsAzfkgy_E2tmIOw,Official Video Rnb Sanga   Me and My baby,The greatest song since bob marley one love.,R n b Sanga,2017-06-29T19:08:44Z
K7jq1-DieHW1kJl4gIfl9h3HMuo,45U5Vxk9dGQ,2021-06-12T14:30:13Z,UC2WKbHPqba3JxlmUvM4QHYw,Justin Bieber and Benny Blanco- Lonely (ft.DJ PRIYANK) |OFFICIAL MUSIC VIDEO | EDM | REMIX |,"Guys please make sure to Like, Share and Subscribe..... Stay tuned for more traps just like this one... ❤..... Comment down below how you felt the Remix.",DJ PRIYANK,2021-06-12T14:30:13Z
0-pNBCvLqFHxBAGq3HipS9Q9pjY,5mvxOMWiEX0,2020-10-25T17:30:00Z,UCiYj-5zbnkkxiTvosg5nChw,Asadharan and L3JEND - Sadharan | Official Music Video,Sadharan - The first collaborative single from Asadharan and L3JEND Stream/Download - https://fanlink.to/Sadharan Audio Credits: Track - Sadharan Artist ...,Asadharan,2020-10-25T17:30:00Z
LGRMMo4u8cdiuy4t56b6j6Stqqs,FwbL8fDe7xY,2020-08-03T16:00:11Z,UCELj6FkIiY9SMchiP2ZMfLg,DJ JOKI - OVER AND OVER AGAIN (Official Video),© DJS4DJS RECORDS Lyrics by: DJ Joki Music by: DJ Joki '2020.,DJ Joki,2020-08-03T16:00:11Z
XM3re2CYaPkvz5s8oQbjY-XR7Vw,-dVU_Ojbx8Q,2020-07-29T13:49:54Z,UCg6e4rh2tTbg5LDkBf1UiSA,LMFAO - Sexy and I Know It ( Remix Official Video),LMFAO #SexyAndIKnowIt #SexyAndIKnowItREMIX ❤️ Dedicated to promoting creative music for content creators. by T G MUSIC: LMFAO - Sexy and ...,HK Top Music,2020-07-29T13:49:54Z
rhXq_3mGhHkFP1lT6HZ7WwzcN_o,1hb0kYMWdvY,2020-09-20T23:36:05Z,UCsa8yIiRUXhPLsiH23gIWbw,[Tropical House] Hoddu x PARUN - You and me (Official Music Video),*이메일 e-mail* hoddun1@gmail.com *PARUN* https://www.youtube.com/channel/UCJj8-FVUB3Z5g4Uu4n_E9WA #트로피컬하우스 #TropicalHouse #PARUN ...,호뚜,2020-09-20T23:36:05Z
Qx4x61PS0-tB_VLJplFduhkEc68,bzGZ6h_0Umg,2017-11-09T13:46:47Z,UC0zKneMvRlkTCmgD6c_Yhtw,Sam Feldt ft. Joshua Radin - High And Low (Official Music Video),"Video by Dzanar Abbas-Zade Cheers, Sam . . . 'Uplifting' is without a doubt the word that best describes Dutch DJ, producer, platinum selling artist and ...",Sam Feldt,2017-11-09T13:46:47Z
A80dIDeEKjCjd7tuPxK3HgNZngU,K21thvOCSds,2013-12-14T15:00:02Z,UC0fpPkYoKHpNtr8P2kWtgdg,Sick Individuals and Axwell ft. Taylr Renee - I AM (Official Music Video),House music royalty Axwell - of Swedish House Mafia - has collaborated with breakthrough electro house duo Sick Individuals and US vocalist Taylr Renee on ...,Axtone,2013-12-14T15:00:02Z
5tYYVTpkERlNgcPS1JzCAx9DUhc,S_eRvk7bZ6I,2021-02-02T14:18:00Z,UCj59__koFo4QFF5ZA3bURGQ,Alan walker and Isac - Sorry(official music video),"alan walker, isak, sorry, aviation tour, alan walker live, bts, noah cyrus, alan walker remix, energetic music, pop, edm, electronic, 2021, music, workout songs, ...",MutaibZakir,2021-02-02T14:18:00Z
ZiwzcoY3lSKb1Dx3ADwoF9E1quY,Bb3kwMkWdS4,2019-05-27T12:56:01Z,UCZod_bG7q3OmdOp_zt5ns-g,MELO.KIDS and INDOX - There 4 U [Official Music Video],"After teaming up with DNF for their debut release on Darklight Recordings, Poland natives Melo.Kids return to the label in tandem with INDOX for their second ...",Darklight Recordings,2019-05-27T12:56:01Z
WEwZH6VjtEv_5gdTuUPrYvAh0eg,3u-LHE_V8xs,2020-12-03T22:50:57Z,UChSmYwvAKTW377hduj0YmXQ,Pingo and Bobby - Move it down (official video),Official music video from Backhammer Records Artist: Pingo & Bobby Track: Move it down Length: 3:04 Genre: House #house #deephouse #edm ...,Backhammer Records,2020-12-03T22:50:57Z
Oe9UuDDH2Nkj3YpRGDC607_QdfE,t1tjQqWqqAA,2013-10-18T21:45:32Z,UCpScI40fW6rKkPPnUVDGkyw,New Order - Round and Round (Official Music Video),The Official Video for 'Round and Round' by New Order. Stream New Order's greatest hits here ▷https://lnk.to/StreamNewOrder Subscribe here ...,New Order,2013-10-18T21:45:32Z
yvEuft0UkiJd8Q-Dnxt2H3XbI9s,mK3YDar0eIk,2020-05-11T04:00:12Z,UC-QegAICmKZwsfyuUbWVL1w,fast and slow by dj san1  [Official Video] EDM,by dj san1 [Official Video] EDM Go listen my music on Spotify https://open.spotify.com/artist/31mdlQFYuCkkUnRwBq7Rzb?si=Gxi9OyplSjKqb9ocQB8LYg follow ...,dj san1,2020-05-11T04:00:12Z
PS4xoSxRg_WlVy8KLa_ocx9xiCg,hEZ8hFllXXM,2015-10-16T08:46:11Z,UCpDJl2EmP7Oh90Vylx0dZtA,Bolier &amp; Natalie Peris - Forever And A Day (Official Music Video),"High end deep house coming from Dutch producer Bolier, working a moody groove alongside the sweet vocals of Natalie Peris. When the bass melody kicks in ...",Spinnin' Records,2015-10-16T08:46:11Z
Om4sZipnLN2H-G9gpX88YkCH8DA,f4TzKOD0Nk0,2018-12-28T16:30:02Z,UCQ7tR4OPQhHsti4QltjAopA,Migos - Bad and Boujee (Girl Mechanic Remix) by Moonshotz | Official Video #enjoybeauty,This is the Moonshotz Remix of Migos Bad and Boujee. Featuring a beautiful hot girl Mechanic. #enjoybeauty #enjoymusic #moonshotz MOONSHOTZ on ...,Moonshotz,2018-12-28T16:30:02Z
nMCb2br6sgz5eYqUuVEYzjev6Bo,Jtu9AEqHiJA,2016-03-05T22:45:33Z,UCdB0DO9p2B1cwt8RIYhEgGg,"Belleh Remix  - Sanjay ft Tifa, Shelly Belly and Demarco Official Video 2016",BELLEH REMIX BELLEH REMIX BELLEH REMIX BELLEH REMIX BELLEH REMIX BELLEH REMIX BELLEH REMIX BELLEH REMIX BELLEH REMIX BELLEH ...,Lando Genius Records,2016-03-05T22:45:33Z
q88d6nrW_hEcq-Ix0HoIOYrvC7I,M-vhzMk2-jo,2020-09-23T15:02:09Z,UCEBndtv0n4ppLqceYgmj2xg,Division - Fire And Ice (Official Music Video),Wasssup Guys! Welcome To A Brand NEW Release Of Division! Let Us Know Do You Like Fire More Or Ice More? Enjoy The NEW Hardstyle EDM! Smash That ...,Division,2020-09-23T15:02:09Z
xwG5qpH_GkygS7CDZk-dapBeeJY,lEEhY-2o66g,2013-06-10T16:28:32Z,UCpDJl2EmP7Oh90Vylx0dZtA,Fedde Le Grand and Sultan + Ned Shepard - No Good (Official Music Video),Paying huge homage to the 1987 Kelly Charles track 'You're No Good To Me' -- made infamous by The Prodigy's 'No Good (Start The Dance) in '94 ...,Spinnin' Records,2013-06-10T16:28:32Z
7JzNJF4Ytu2CcIqsLJlZvifmdgg,Gu24QY2369Y,2019-10-15T13:11:52Z,UCHQE-c1JX7Io3zcXgXBQKlw,Loud Luxury and Bryce Vine - I&#39;m Not Alright [Official Music Video],"Bryce Vine is a rapper-singer renowned for his hit songs ""Drew Barrymore,"" ""La La Land,"" ""I'm Not Alright,"" ""The Fall,"" ""Classic and Perfect,"" ""Sunflower Seeds,"" ...",Bryce Vine,2019-10-15T13:11:52Z
twQ737MJ0il2RiVZxOOnnz1lezs,O-MuNqoWVh0,2015-03-03T15:57:24Z,UCvBuA0rDebuKg9NPZKBa9lQ,Fedde Le Grand and Jewelz &amp; Sparks - Robotic [Official Music Video],A collaboration with Jewelz & Sparks to naturally follow Fedde's excitement about the boys' sound and development as producers as regularly featuring their ...,Fedde Le Grand,2015-03-03T15:57:24Z
mNu4IrqxxXxPxBkQ9I6D1Gz3QzA,sU_AhECn5Js,2018-02-22T23:30:02Z,UCBd6PkTuVsLCjwSesoBSV7w,Divotion - Run and Fly (Official Video),OUT NOW // Divotion - Run and Fly // OFFICIAL VIDEO STREAM and DOWNLOAD: ITUNES: https://itunes.apple.com/de/album/run-and-fly-single/1347634471 ...,DIVOTION,2018-02-22T23:30:02Z
cItvXqjv6_N_K0K19F5EAtPEo4w,YtvlPonCPTw,2020-10-09T10:20:25Z,UCZod_bG7q3OmdOp_zt5ns-g,Exodus and Sebastian Park - Poppin&#39; [Official Music Video],"Packing an almighty punch, Exodus & Sebastian Park deliver their 'Rave Alarm' EP to Darklight Recordings. The title track begs to be played at top volume, ...",Darklight Recordings,2020-10-09T10:20:25Z
yr6aq08Hmd3u5m86cVQFnX8-skg,vk33UXtaZ7s,2021-03-22T07:39:03Z,UChSmYwvAKTW377hduj0YmXQ,Pingo and Bobby - Come for me (official video),Official music video from Backhammer Records Artist: Pingo and Bobby Track: Come for me (Radio Edit) Length: 2:41 Genre: EDM/House Music video produced ...,Backhammer Records,2021-03-22T07:39:03Z
lQbMEfe38bHCK7AXFk0mmBGF2eU,ABeSaZ6JWUk,2016-06-08T12:00:00Z,UCpDJl2EmP7Oh90Vylx0dZtA,King Topher and TRM - Talking About Love (Official Music Video),The Spinnin' Records YouTube channel is the home for all music videos of the world's leading dance record label! We feature the latest music videos by ...,Spinnin' Records,2016-06-08T12:00:00Z
P8dZeRHxHLoMPGrTCP_OS5Z9KRg,KI20fjTRTRU,2018-03-09T22:20:10Z,UCBhh9ctJ0JMCQLvtTZhvBjw,Gil Glaze - Wild And Free (Official Music Video),Get This Track: https://ARDP399.lnk.to/WAFYA Follow Gil Glaze: https://soundcloud.com/gilglaze https://www.facebook.com/gilglaze ...,EDM Charts,2018-03-09T22:20:10Z
1mNv-AfI61OIvdFKbA99NCjFiQM,ljprAh97E0o,2021-05-14T20:48:34Z,UCvZU4uVwFYxXzblunM7n4Fg,Tightrope Walking by Andrea Hamilton and LAD - Official Music Video,"www.HopefulAndrea.com Follow me on TikTok, Insta and Twitter: @HopefulAndrea Film Production: www.TraniFilms.com Lyrics: I don't give up on what I ...",Andrea Hamilton,2021-05-14T20:48:34Z
I_wZndo11xLzEi1dW_tbdUZZXN8,Z71CY-DaTvs,2019-01-11T05:03:09Z,UC-HELBaqNs47mSeB60rkbnA,DRAMA - Dead and Gone (Official Video),"Music video by DRAMA performing ""Dead and Gone"" Listen to ""Dead and Gone"" https://drama.ffm.to/deadandgone Follow DRAMA for the latest music and ...",DRAMA,2019-01-11T05:03:09Z
uyQFtYBG8QS9eVBMTK_D6XzTtQM,_Th0oOHjdXU,2017-02-21T20:00:04Z,UCGZXYc32ri4D0gSLPf2pZXQ,Steff Da Campo - Come Back and Stay (Official Music Video),Check out the Armada Music Top 100: Listen: https://ArmadaMusicTop100.lnk.to/PLYA Listen or download: https://ARBNL159.lnk.to/CBASYA Subscribe to ...,Armada Music,2017-02-21T20:00:04Z
2JogVgn9z9Opn2z529AO8CIghJQ,KYVyHUBSM8M,2019-08-03T03:55:48Z,UCCI9pZrBXHR1vaQfL3enSaA,"Alan Walker , And Hardwell Mix  Official Video Mix 2019 (DJMJDJ)","HI Guys Alan walker and hardwell Walkers and well, it's time to finally share the second chapter of the world of walker trilogy with you guys. ""Darkside"" is the ...",MJ Combines,2019-08-03T03:55:48Z
uGv9_gZyUewfLYp-mXBl_jDAHR0,DNWX58wy-yk,2010-05-18T03:45:56Z,UC72TXfaEKFi8WjFFHJeLHKQ,OFFWHYTE® - EBBS AND FLOWS REMIX [OFFICIAL MUSIC VIDEO],realhiphop #offwhyte #offwhite #galapagos4 #chicagohiphop #filipino #japan #tokyo #city #edm #electronicmusic #house #housemusic #asianhiphop #music ...,Offwhyte,2010-05-18T03:45:56Z
r8rMda02atvip3ndsUmkyrDverY,p-PHljLS7-Y,2020-08-14T17:32:32Z,UCYDUD6c5_kMWDs46f8uRyXA,Edm Fataka - Unchange it ! | (Official Music Video) |#Independenceday2020 And 15 Aug Special.,My new song Unchange it! is out now and I'm so glad I can share it with you! Subscribe to my channel: https://shrinkme.io/SubscribeEdmFataka and turn on ...,MiT VaRia,2020-08-14T17:32:32Z
07FqFT1ASTGbArDCtU2Q6z8Oqg0,M3liPAZitUM,2020-10-30T12:37:56Z,UCZod_bG7q3OmdOp_zt5ns-g,Genuine Brothers and EXCE - So Phat [Official Music Video],"Delivering a hybrid creation to Darklight Recordings, Genuine Brothers & EXCE team up for 'So Phat'. Fusing trap elements with a deep warbling bassline and a ...",Darklight Recordings,2020-10-30T12:37:56Z
pkRrLEPH2ysJmGTafqcXZZbdsMQ,rc-bKmBtUTE,2021-05-28T01:58:11Z,UCEv8DuurTl2Fy6grIYfx1fw,BEN DAVID - Sunshine and Rainbows (Official Music Video),https://linktr.ee/bendavidmusic.,Ben David Music,2021-05-28T01:58:11Z
GZ7kmYYkXAGQ3ZQLahLJOafIMm4,49kx4UiJyK0,2021-02-13T18:00:15Z,UCf6DaeV76q-e4Yr8n6OFfbA,Resaixo - My Heart and Your Mind (Official Music Video),"The official music video for my newest single, ""My Heart and Your Mind"". Stream it here: https://distrokid.com/hyperfollow/resaixo/my-heart-and-your-mind Btw, ...",Resaixo,2021-02-13T18:00:15Z
NOSFmeUjeHzFfBgr-sOlaliDU9I,QAANnpx_w9M,2021-03-15T20:25:24Z,UC8iYyOi88Te712YQuY_WwkA,MaCCa B - Faith And Complication (Official Music Video),MaCCa B - Faith And Complication MaCCa B MaCCa B on SoundCloud https://soundcloud.com/user-117995276​​... MaCCa B On Facebook ...,MaCCa B Official,2021-03-15T20:25:24Z
jyunmh8AksF9AqHOxkkURSkfONA,wTHBNgu4YaM,2020-01-10T16:50:03Z,UCZod_bG7q3OmdOp_zt5ns-g,Carta and Spencer Tarring - Make Some Noise In Here [Official Music Video],"Treating Darklight Recordings fans to a truly explosive offering, Carta and Spencer Tarring's aptly titled, 'Make Some Noise In Here' makes seismic waves from ...",Darklight Recordings,2020-01-10T16:50:03Z
JVw2Xx5YwZAqyDdnakxsBtll0-s,jPy9VfU8Ei0,2015-10-26T16:00:01Z,UCGZXYc32ri4D0gSLPf2pZXQ,BT &amp; Senadee feat. Dragon and Jontron - Lifeline (Official Music Video),"Voluptuous chords immediately capture your attention and hold it tightly, as the record builds up into a glorious piece of progressive goodness. BT & Senadee ...",Armada Music,2015-10-26T16:00:01Z
n20wYHf2iQgGp57hoaB4gWuoJ8I,6SaqTJlHeQs,2013-08-27T17:48:16Z,UCALvGYb5h_MZCzW_vG8d8eQ,"Boneless (Official Music Video) - Steve Aoki, Chris Lake, and Tujamo","Subscribe to Steve Aoki's YouTube channel for the latest music videos, tour footage, mixes, and the best in dance music! New videos every Wednesday, ...",Steve Aoki,2013-08-27T17:48:16Z
tBABEGCgpaznhji5pfusDmnQgLI,KwMwganEFR0,2018-12-10T16:00:01Z,UCZod_bG7q3OmdOp_zt5ns-g,"Mo Falk, Zoopreme and Yukio - Midnight Strike [Official Music Video]","A quality tune meant to spice up the latter part of the night, Mo Falk, Zoopreme and Yukio's 'Midnight Strike' is that highly explosive bomb of a record you can't do ...",Darklight Recordings,2018-12-10T16:00:01Z
fXPeeO3TKZJ5qU83zuRU54lPA7o,JyWeOTaMx9A,2017-09-05T19:00:01Z,UCGZXYc32ri4D0gSLPf2pZXQ,Dark9ine &amp; Phats and Small - You and Me (Official Music Video),"A deluge of upbeat rhythms and cheerful piano chords, 'You And Me' is the Armada Deep debut of Dark9ine and Phats & Small. Embellished with sparkling ...",Armada Music,2017-09-05T19:00:01Z
-Nw1ni9DH7iJyjpYE1S4kJL_Tus,sH51g1L0i14,2015-03-02T15:00:05Z,UCGZXYc32ri4D0gSLPf2pZXQ,Killogy and Matthew White feat. Angelika Vee - Awake (Official Music Video),"Once again, Angelika Vee's vocals are given the chance to absolutely soar in the incredible new single “Awake”. Get lost in the moving original from Killogy ...",Armada Music,2015-03-02T15:00:05Z
ymEXdeymzP1ayjpxIvgRBUQ7eiM,tvUqTjhnXCw,2021-05-21T16:00:16Z,UC5QGX9MinYBtL8O-YH1yndw,RACVILLE (Official Music Video) / peaceful and mysterious instrumental?,WELCOME TO RACVILLE ◺ ◿ Hope you enjoy your stay! CHAPTER 1: Welcome To Racville (Official Video) / peaceful and mysterious instrumental? You just ...,Men Of Woods,2021-05-21T16:00:16Z
yQDmTXY8353A3lG2NklpaIGL7BQ,l4nWNjqAKOE,2016-03-24T15:27:13Z,UCr-EOoS1qDwRtiTljp9-PJg,Nils van Zandt &amp; Nicci - Up and Down (Official Video HD),[Electro House] Nils van Zandt & Nicci - Up and Down (Official Video HD) iTunes ▻ http://apple.co/1U7Y86e Amazon ▻ http://amzn.to/1RjDi05 Spotify ...,toughstuffmusictv,2016-03-24T15:27:13Z
cPN0FGCit0hv4gILRykk1_d_9kc,iPE28nKBRZs,2019-09-06T15:00:13Z,UCcCVjz3gpyyrsv0nfCoEUyw,John Grip - Fire and Ice feat. Michael Shynes [Official Video],"Hey everyone, here's my new song featuring Michael Shynes. I hope you enjoy it! ❄️ Stream 'Fire and Ice' now on the following platforms: ...",John Grip,2019-09-06T15:00:13Z
Y0-4ESkRLc_O6mGx-6gA_Ln-YNE,AIHczLTUBCM,2016-12-19T17:11:18Z,UCb3tJ5NKw7mDxyaQ73mwbRg,Steff Da Campo - Come Back And Stay (Official Video HD),TAKEN FROM KONTOR TOP OF THE CLUBS VOL. 73 +++ GERMANY'S NO. 1 DANCE COMPILATION FEATURING MANY EXCLUSIVE TRACKS +++ 60 ...,Kontor.TV,2016-12-19T17:11:18Z
18WIJW9ND9ZvxHSBChU1I8rCCww,xD8NM1pIDYs,2015-11-26T23:28:29Z,UCsFkpDkzJjC61wlGzdIyFRg,Jazzmin - Run And Remember (Official Music Video),Jazzmin is dropping a progressive tune featering nothing but herself. Get ready for a uplifting progressive sound that hits you right in the feels. With vocals that ...,BanditBrother,2015-11-26T23:28:29Z
IQJK_hYY-LorRf0AmFtkVWNs64A,GxMktCcakvs,2021-01-28T12:21:36Z,UCbZz_wobAB9RUQdadvE3dbA,Falling Star - Regista ft. Nineteengoth and cikalnajme (Official Music Video),Falling Star - Flic OG ft. Nineteengoth and cikalnajme (Official Music Video) Turn on Subtittle/CC for Lyrics. Producer : Flic OG (regista) Mastered : Flic OG Lyrics ...,Nineteengoth,2021-01-28T12:21:36Z
veXo00BGAGIvvgNN4FVgOjVJlag,QsLTqT1xwLM,2020-09-23T23:03:23Z,UC7x4BkVArMSdIGen9IBHuRQ,Annava - Yellow and Pink (OFFICIAL MUSIC VIDEO) @annavamusic,Lyrics: I feel it tonight sharpening my knife she told me to Back up and to try to take some advice I'm not gonna Be so hypnotized cause I'm just a guy I got my ...,Annava,2020-09-23T23:03:23Z
yuSOkjBvgzcpwddHTf7ABK0IY5w,jT6eW670igk,2016-04-15T10:00:02Z,UCtvcDuuwpkuo8DkCOHmfLdQ,NILS VAN ZANDT &amp; NICCI - Up and Down (Official Video),TUO SU BEATPORT https://goo.gl/RmaVKP TUO SU ITUNES https://goo.gl/mse3Rm TUO SU GOOGLE PLAY https://goo.gl/w4mzeA TUO SU SPOTIFY ...,Bang Record,2016-04-15T10:00:02Z
VQg8zsd1W01U1jEgwtyMhbtIuYE,MpHAp7zG7tI,2014-03-11T16:00:07Z,UCS6R2iiAJ1FvEYl4B3zmljw,Isis Salam ft. Kruse and Nuernberg - &quot;Let Go&quot; (Official Video),"""Let Go"" is available on Beatport March 23, and all other stores April 4 via Exploited Records. Director/ DOP/ Editor: Benedikt Hugendubel Producer: Verena ...",THUMP,2014-03-11T16:00:07Z
_yJvhaJ6TO21oIrRyBWm3N73pxg,6daZcm41-6g,2016-05-23T07:30:01Z,UC3OZG06xxHHxICfQi_x-dPg,Mazex - Up And Up (Official Music Video),Follow me on my socials? http://www.instagram.com/KovsMusic http://www.twitter.com/KovsMusic http://www.facebook.com/KovsMusic ...,Kovs,2016-05-23T07:30:01Z
abKG9XIEyJSdXyUAeVG_0zrDFek,YQiMFwoVs6I,2017-06-13T01:42:47Z,UC_sKLjdGhiaXmC3stIKa8Kg,Kalo - Hearts And Minds (Official Music Video),"I'm back with a new track and a different style, hope you like it! I have been prioritising quality over quantity, hope it shows in my work. I might be doing more MVs ...",Kenneth,2017-06-13T01:42:47Z
ecIOfGLoRr9MX4zkVPmp2BG1VEU,QeMaBZY85kc,2012-05-16T02:57:49Z,UC0FsrLRlwjOwZNTQZxsyhoQ,R.I.O. feat. Nicco - Party Shaker (Official Video) (and Lyrics),"(Verse 1) - Wake up, Wake up - people get it on gonna rock your body - stand up, stand up - we movin all the way to the top (Pre Hook) - we're flyin high, so high, ...",niccomusic1,2012-05-16T02:57:49Z
5ojxWZNET0aSkZ1qYBZYqnQSy24,N6dARYGoZyI,2012-07-24T08:36:06Z,UCb3tJ5NKw7mDxyaQ73mwbRg,Paffendorf -   Rhythm And Sex (Official Video HD),Follow Tiger Records http://www.facebook.com/tigerrecords Facebook: http://facebook.com/kontorrecords Google+ : http://kontorrecords.de/google Twitter: ...,Kontor.TV,2012-07-24T08:36:06Z
co1MM12VD9GaSLF-WFK4Cgw_WL8,IAAjw9DnHUg,2020-08-28T06:45:38Z,UCS958q8ObLEBrdz10EM03dg,J.J.Hansen feat. Melis May - Feel And Listen (Uplink Edit) (Official Video),"J.J.Hansen teams up once again with fellow producers Uplink for a massive followup to their 2018 smash ""It Ain't Right"". Featuring vocalist Melis May, ""Feel And ...",JOMPSTA,2020-08-28T06:45:38Z
H64HUMkzdPe87fsdoaKq-RTTD3k,V1Lzad-N1rI,2014-03-28T18:09:35Z,UC6WcEtmE8bk20I88fSyG8uA,Rares and Joshua - Smile (Official Video),https://www.facebook.com/gabi.schuman... Catherine Marquis https://www.facebook.com/catherine.ma... Music : Rares and Joshua ...,DanceGenerationLabel,2014-03-28T18:09:35Z
kGRF7o1_YdkjVWDfIBg9BYJZvmY,E4__aA3Inok,2019-02-09T02:28:52Z,UCE78rz6cF6TNDurNb2bUE0Q,Highs and Lows [Official Music Video by Far ofF],"Find us on all your favorite streaming services and more! Google Play/YouTube, Pandora, Tidal, Napster, iHeartRadio, ClaroMusica, Saavn, Anghami, KKBox, ...",Far ofF,2019-02-09T02:28:52Z
tp9RtQodIDdELKhtT-Rd4COSZRM,Ie5UiQoQYz4,2011-09-20T11:34:05Z,UCqZKc23a7IWL0cUp1nvoLFA,September - Me and My Microphone (Official Video HD),September are back with a brand new single entitled Me and My Microphone coming soon in the UK on All Around The World. Vote for 'Me and My Microphone' ...,SteveAATW,2011-09-20T11:34:05Z
QgeUX9NjGA7AKUnRf-qYqg5ZqwQ,qsHSiBnhqWw,2016-11-01T15:47:02Z,UCDCCLsZ0OBG8Dt-3JMc3hkA,Galantis and East &amp; Young - Make Me Feel OFFICIAL VIDEO,Released via Big Beat Records Big Beat Schedule 1: http://smarturl.it/BBSch1YT XOXO Soundtrack Available Now! Buy/Stream: https://BigBeat.lnk.to/XOXO ...,Big Beat Records,2016-11-01T15:47:02Z
